"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","Class"
"PersonID","1","8","15","15.11","22.5","30","numeric"
"Activities","6","6","6","6","6","5","factor"
"tBodyAcc-mean()-X","0.2651","0.2727","0.2746","0.2745","0.2774","0.2816","numeric"
"tBodyAcc-mean()-Y","-0.02329","-0.01867","-0.01768","-0.01779","-0.01668","-0.0144","numeric"
"tBodyAcc-mean()-Z","-0.1183","-0.1103","-0.1087","-0.1086","-0.1072","-0.09497","numeric"
"tBodyAcc-std()-X","-0.7871","-0.655","-0.6048","-0.5812","-0.5509","-0.1044","numeric"
"tBodyAcc-std()-Y","-0.6987","-0.5748","-0.5099","-0.4739","-0.4009","-0.01025","numeric"
"tBodyAcc-std()-Z","-0.7386","-0.6845","-0.6365","-0.5904","-0.534","-0.1169","numeric"
"tGravityAcc-mean()-X","0.4753","0.6355","0.6813","0.6818","0.7037","0.9522","numeric"
"tGravityAcc-mean()-Y","-0.33","-0.06068","-0.01025","-0.007277","0.06694","0.1748","numeric"
"tGravityAcc-mean()-Z","-0.1612","0.03575","0.06232","0.08407","0.1407","0.2769","numeric"
"tGravityAcc-std()-X","-0.9801","-0.9722","-0.9658","-0.9648","-0.9588","-0.9412","numeric"
"tGravityAcc-std()-Y","-0.9725","-0.9603","-0.9553","-0.9535","-0.9504","-0.8926","numeric"
"tGravityAcc-std()-Z","-0.9594","-0.9491","-0.9416","-0.9372","-0.9285","-0.8744","numeric"
"tBodyAccJerk-mean()-X","0.06288","0.07739","0.07854","0.07915","0.08144","0.1043","numeric"
"tBodyAccJerk-mean()-Y","-0.001545","0.004036","0.007304","0.007789","0.01087","0.02431","numeric"
"tBodyAccJerk-mean()-Z","-0.02595","-0.008202","-0.00441","-0.005265","-0.001179","0.01787","numeric"
"tBodyAccJerk-std()-X","-0.845","-0.6913","-0.6241","-0.6175","-0.5644","-0.1561","numeric"
"tBodyAccJerk-std()-Y","-0.778","-0.6681","-0.5943","-0.5817","-0.5169","-0.1997","numeric"
"tBodyAccJerk-std()-Z","-0.8862","-0.7949","-0.7605","-0.7517","-0.7284","-0.4761","numeric"
"tBodyGyro-mean()-X","-0.07013","-0.04693","-0.02763","-0.02791","-0.0154","0.04461","numeric"
"tBodyGyro-mean()-Y","-0.1242","-0.08369","-0.07743","-0.07715","-0.06849","-0.04715","numeric"
"tBodyGyro-mean()-Z","0.05399","0.08152","0.08725","0.08709","0.09375","0.1122","numeric"
"tBodyGyro-std()-X","-0.8415","-0.7518","-0.71","-0.6998","-0.6752","-0.3523","numeric"
"tBodyGyro-std()-Y","-0.812","-0.7642","-0.7035","-0.6567","-0.6088","-0.07223","numeric"
"tBodyGyro-std()-Z","-0.8038","-0.7117","-0.6633","-0.6334","-0.594","-0.264","numeric"
"tBodyGyroJerk-mean()-X","-0.1211","-0.1062","-0.09881","-0.09822","-0.08953","-0.07311","numeric"
"tBodyGyroJerk-mean()-Y","-0.07042","-0.04415","-0.04166","-0.04277","-0.03989","-0.03459","numeric"
"tBodyGyroJerk-mean()-Z","-0.0622","-0.05763","-0.05555","-0.05382","-0.05275","-0.01692","numeric"
"tBodyGyroJerk-std()-X","-0.8639","-0.7812","-0.7205","-0.714","-0.6671","-0.5085","numeric"
"tBodyGyroJerk-std()-Y","-0.9238","-0.841","-0.7927","-0.7722","-0.712","-0.389","numeric"
"tBodyGyroJerk-std()-Z","-0.8713","-0.7956","-0.7484","-0.7223","-0.6604","-0.3834","numeric"
"tBodyAccMag-mean()","-0.6865","-0.6074","-0.5353","-0.518","-0.4974","-0.01408","numeric"
"tBodyAccMag-std()","-0.7349","-0.6429","-0.5791","-0.5667","-0.5267","-0.1015","numeric"
"tGravityAccMag-mean()","-0.6865","-0.6074","-0.5353","-0.518","-0.4974","-0.01408","numeric"
"tGravityAccMag-std()","-0.7349","-0.6429","-0.5791","-0.5667","-0.5267","-0.1015","numeric"
"tBodyAccJerkMag-mean()","-0.8302","-0.6944","-0.6301","-0.6273","-0.5821","-0.2197","numeric"
"tBodyAccJerkMag-std()","-0.8269","-0.6787","-0.6077","-0.607","-0.5483","-0.1734","numeric"
"tBodyGyroMag-mean()","-0.7647","-0.6524","-0.6148","-0.5752","-0.5193","-0.09166","numeric"
"tBodyGyroMag-std()","-0.828","-0.7088","-0.6667","-0.6376","-0.5799","-0.2047","numeric"
"tBodyGyroJerkMag-mean()","-0.8823","-0.8038","-0.7677","-0.7457","-0.6956","-0.4057","numeric"
"tBodyGyroJerkMag-std()","-0.9021","-0.8318","-0.7864","-0.7645","-0.7243","-0.4615","numeric"
"fBodyAcc-mean()-X","-0.8096","-0.6678","-0.5991","-0.5983","-0.5712","-0.1137","numeric"
"fBodyAcc-mean()-Y","-0.7178","-0.5973","-0.5258","-0.5054","-0.4379","-0.07428","numeric"
"fBodyAcc-mean()-Z","-0.7781","-0.7198","-0.665","-0.6484","-0.6217","-0.2965","numeric"
